 Value of m    Value of n  Wavelength in Å
         2         1       1215.733
         3         1       1025.775
         3         2       6564.959
         4         1        972.587
         4         2       4862.933
         4         3      18757.027
         5         1        949.792
         5         2       4341.904
         5         3      12822.188
         5         4      40524.441
         6         1        937.851
         6         2       4103.100
         6         3      10941.600
         6         4      26259.838
         6         5      74601.820
         7         1        930.796
         7         2       3971.396
         7         3      10052.595
         7         4      21662.156
         7         5      46539.793
         7         6     123724.234
         8         1        926.273
         8         2       3890.347
         8         3       9549.032
         8         4      19451.732
         8         5      37407.180
         8         6      75028.109
         8         7     190627.000
         9         1        923.198
         9         2       3836.665
         9         3       9231.975
         9         4      18179.889
         9         5      32971.340
         9         6      59084.641
         9         7     113091.703
         9         8     278045.375
        10         1        921.010
        10         2       3799.167
        10         3       9017.802
        10         4      17367.617
        10         5      30393.334
        10         6      51288.750
        10         7      87604.312
        10         8     162097.766
        10         9     388714.688
        11         1        919.398
        11         2       3771.891
        11         3       8865.626
        11         4      16811.855
        11         5      28731.199
        11         6      46727.062
        11         7      75084.195
        11         8     123876.820
        11         9     223413.766
        11        10     525370.438
        12         1        918.176
        12         2       3751.406
        12         3       8753.280
        12         4      16412.400
        12         5      27583.865
        12         6      43766.398
        12         7      67722.742
        12         8     105039.352
        12         9     168813.250
        12        10     298407.281
        12        11     690748.188
        13         1        917.227
        13         2       3735.617
        13         3       8667.799
        13         4      16114.427
        13         5      26752.467
        13         6      41709.707
        13         7      62921.801
        13         8      93924.086
        13         9     141836.703
        13        10     223324.938
        13        11     388445.875
        13        12     887582.625
        14         1        916.476
        14         2       3723.183
        14         3       8601.150
        14         4      15885.582
        14         5      26127.604
        14         6      40210.379
        14         7      59570.934
        14         8      86648.625
        14         9     125875.969
        14        10     186159.172
        14        11     288323.344
        14        12     494896.938
        14        13    1118609.500
        15         1        915.870
        15         2       3713.213
        15         3       8548.125
        15         4      15705.646
        15         5      25644.375
        15         6      39077.141
        15         7      57117.020
        15         8      81552.297
        15         9     115399.688
