 At a temperature of    75.0000000     °F or   297.038879     K


   Voltage             Current

    -1.0             -0.0000020
    -0.9             -0.0000020
    -0.8             -0.0000020
    -0.7             -0.0000020
    -0.6             -0.0000020
    -0.5             -0.0000020
    -0.4             -0.0000020
    -0.3             -0.0000020
    -0.2             -0.0000020
    -0.1             -0.0000020
     0.0              0.0000000
     0.1              0.0000976
     0.2              0.0049593
     0.3              0.2471032
     0.4             12.3073683
     0.5            612.9843750
     0.6          30530.5019531

 At a temperature of    100.000000     °F or   310.927765     K


   Voltage             Current

    -1.0             -0.0000020
    -0.9             -0.0000020
    -0.8             -0.0000020
    -0.7             -0.0000020
    -0.6             -0.0000020
    -0.5             -0.0000020
    -0.4             -0.0000020
    -0.3             -0.0000020
    -0.2             -0.0000020
    -0.1             -0.0000020
     0.0              0.0000000
     0.1              0.0000817
     0.2              0.0034972
     0.3              0.1463615
     0.4              6.1220889
     0.5            256.0753784
     0.6          10711.1445312

 At a temperature of    125.000000     °F or   324.816650     K


   Voltage             Current

    -1.0             -0.0000020
    -0.9             -0.0000020
    -0.8             -0.0000020
    -0.7             -0.0000020
    -0.6             -0.0000020
    -0.5             -0.0000020
    -0.4             -0.0000020
    -0.3             -0.0000020
    -0.2             -0.0000020
    -0.1             -0.0000019
     0.0              0.0000000
     0.1              0.0000693
     0.2              0.0025407
     0.3              0.0906621
     0.4              3.2327318
     0.5            115.2668991
     0.6           4109.9877930

