 Distance (m)  Tension (N)

  0.5          1217.02209
  0.6          1020.62061
  0.7           881.47430
  0.8           778.17871
  0.9           698.85645
  1.0           636.39606
  1.1           586.28802
  1.2           545.54468
  1.3           512.11847
  1.4           484.57172
  1.5           461.88016
  1.6           443.31207
  1.7           428.35413
  1.8           416.66660
  1.9           408.06049
  2.0           402.49222
  2.1           400.08005
  2.2           401.14664
  2.3           406.31018
  2.4           416.66666
  2.5           434.17627
  2.6           462.56741
  2.7           509.81247
  2.8           596.87726

The minimum tension is 400.08005 N at  2.1 metres from wall.
