   Antenna Gain vs Angle (deg)

   Antenna Gain        Angle (deg)

     0.000000            0
     0.998173            1
     0.992705            2
     0.983632            3
     0.971012            4
     0.954930            5
     0.935489            6
     0.912818            7
     0.887064            8
     0.858394            9
     0.826993           10
     0.793065           11
     0.756827           12
     0.718509           13
     0.678356           14
     0.636620           15
     0.593562           16
     0.549448           17
     0.504551           18
     0.459143           19
     0.413497           20
     0.367883           21
     0.322569           22
     0.277814           23
     0.233872           24
     0.190986           25
     0.149386           26
     0.109292           27
     0.070907           28
     0.034420           29
     0.000000           30
     0.032199           31
     0.062044           32
     0.089421           33
     0.114237           34
     0.136419           35
     0.155915           36
     0.172695           37
     0.186750           38
     0.198091           39
     0.206748           40
     0.212774           41
     0.216236           42
     0.217224           43
     0.215841           44
     0.212207           45
     0.206456           46
     0.198737           47
     0.189207           48
     0.178035           49
     0.165399           50
     0.151481           51
     0.136471           52
     0.120561           53
     0.103943           54
     0.086812           55
     0.069358           56
     0.051770           57
     0.034231           58
     0.016918           59
     0.000000           60
     0.016364           61
     0.032023           62
     0.046840           63
     0.060688           64
     0.073456           65
     0.085044           66
     0.095369           67
     0.104360           68
     0.111964           69
     0.118142           70
     0.122869           71
     0.126138           72
     0.127954           73
     0.128338           74
     0.127324           75
     0.124960           76
     0.121307           77
     0.116435           78
     0.110427           79
     0.103374           80
     0.095377           81
     0.086543           82
     0.076985           83
     0.066821           84
     0.056172           85
     0.045163           86
     0.033918           87
     0.022561           88
     0.011215           89
     0.000000           90
